"","University_Name","UniversityNo","Year","Topic","Province","University_Name_Location","Plan_Number","Lowest_Ranking","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage","University_Name_Pinyin","Distance"
"1","上海交通大学",19248,2015,"理科","上海","上海交通大学医学",5,295,81.08,0.27613104524181,2356094,2426,75.4,971.184666117065,51000,0.0057843137254902,"shanghaijiaotongdaxue",1452
"4","上海交通大学",10248,2015,"理科","上海","上海交通大学",25,197,81.08,0.27613104524181,2356094,2426,75.4,971.184666117065,51000,0.00386274509803922,"shanghaijiaotongdaxue",1452
"8","上海交通大学",19248,2013,"理科","上海","上海交通大学医学",8,479,47.62,0.165693430656934,2018172,2380.43,72.7,847.818251324341,40420,0.011850569025235,"shanghaijiaotongdaxue",1452
"11","上海交通大学",19248,2012,"理科","上海","上海交通大学医",8,1036,42.52,0.165558912386707,1919569,2347.46,69.2,817.721707718129,29207,0.0354709487451638,"shanghaijiaotongdaxue",1452
"15","上海交通大学",19248,2011,"理科","上海","上海交通大学医学",8,1717,43.63,0.246558704453441,1716598,2302.66,65.5,745.484787159199,30392,0.0564951302974467,"shanghaijiaotongdaxue",1452
"22","上海交通大学",10248,2011,"理科","上海","上海交通大学",40,284,43.63,0.246558704453441,1716598,2302.66,65.5,745.484787159199,30392,0.00934456435904185,"shanghaijiaotongdaxue",1452
"30","上海交通大学",19248,2014,"理科","上海","上海交通大学医学",7,3727,79.72,0.266233766233766,2160212,2415.15,75.6,894.442167153179,43106,0.0864612814921357,"shanghaijiaotongdaxue",1452
"38","上海交通大学",10248,2011,"文科","上海","上海交通大学",1,40,43.63,0.246558704453441,1716598,2302.66,65.5,745.484787159199,10919,0.00366333913362029,"shanghaijiaotongdaxue",1452
"44","上海交通大学",10248,2010,"理科","上海","上海交通大学",43,351,43.47,0.154732510288066,1504645,2210.28412774259,61.5,680.747321629064,29550,0.0118781725888325,"shanghaijiaotongdaxue",1452
"55","上海交通大学",10248,2014,"文科","上海","上海交通大学",1,78,79.72,0.266233766233766,2160212,2415.15,75.6,894.442167153179,14000,0.00557142857142857,"shanghaijiaotongdaxue",1452
"66","上海交通大学",10248,2013,"文科","上海","上海交通大学",1,45,47.62,0.165693430656934,2018172,2380.43,72.7,847.818251324341,12924,0.00348189415041783,"shanghaijiaotongdaxue",1452
"81","上海交通大学",10248,2014,"理科","上海","上海交通大学",25,192,79.72,0.266233766233766,2160212,2415.15,75.6,894.442167153179,43106,0.00445413631513014,"shanghaijiaotongdaxue",1452
"88","上海交通大学",10248,2013,"理科","上海","上海交通大学",43,274,47.62,0.165693430656934,2018172,2380.43,72.7,847.818251324341,40420,0.00677882236516576,"shanghaijiaotongdaxue",1452
"99","上海交通大学",10248,2012,"文科","上海","上海交通大学",1,403,42.52,0.165558912386707,1919569,2347.46,69.2,817.721707718129,10000,0.0403,"shanghaijiaotongdaxue",1452
"110","上海交通大学",10248,2015,"文科","上海","上海交通大学",1,39,81.08,0.27613104524181,2356094,2426,75.4,971.184666117065,16964,0.00229898608818675,"shanghaijiaotongdaxue",1452
"121","上海交通大学",10248,2012,"理科","上海","上海交通大学",40,309,42.52,0.165558912386707,1919569,2347.46,69.2,817.721707718129,29207,0.0105796555620228,"shanghaijiaotongdaxue",1452
"147","上海外国语大学",10271,2010,"理科","上海","上海外国语大学",8,3524,2.94,0.0322633744855967,1504645,2210.28412774259,61.5,680.747321629064,29550,0.119255499153976,"shanghaiwaiguoyudaxue",1466
"148","上海外国语大学",10271,2013,"文科","上海","上海外国语大学",4,3021,2.53,0.0279805352798054,2018172,2380.43,72.7,847.818251324341,12924,0.233751160631383,"shanghaiwaiguoyudaxue",1466
